id,type_id,fold,sig_len,is_synthesis,image_path
00001,0015,-1,5000,True,data/rectified/00001_0015.rect.png
00001,0001,-1,5000,True,data/rectified/00001-0001.rect.png
00002,0015,-1,5000,True,data/rectified/00002_0015.rect.png
00002,0001,-1,5000,True,data/rectified/00002-0001.rect.png
00003,0015,-1,5000,True,data/rectified/00003_0015.rect.png
00003,0001,-1,5000,True,data/rectified/00003-0001.rect.png
00004,0001,-1,5000,True,data/rectified/00004-0001.rect.png
00004,0015,-1,5000,True,data/rectified/00004_0015.rect.png
00005,0001,-1,5000,True,data/rectified/00005-0001.rect.png
00005,0015,-1,5000,True,data/rectified/00005_0015.rect.png
00006,0015,-1,5000,True,data/rectified/00006_0015.rect.png
00006,0001,-1,5000,True,data/rectified/00006-0001.rect.png
00007,0015,-1,5000,True,data/rectified/00007_0015.rect.png
00007,0001,-1,5000,True,data/rectified/00007-0001.rect.png
00008,0001,-1,5000,True,data/rectified/00008-0001.rect.png
00008,0015,-1,5000,True,data/rectified/00008_0015.rect.png
00009,0015,-1,5000,True,data/rectified/00009_0015.rect.png
00009,0001,-1,5000,True,data/rectified/00009-0001.rect.png
00010,0015,-1,5000,True,data/rectified/00010_0015.rect.png
00010,0001,-1,5000,True,data/rectified/00010-0001.rect.png
00011,0015,-1,5000,True,data/rectified/00011_0015.rect.png
00011,0001,-1,5000,True,data/rectified/00011-0001.rect.png
00012,0015,-1,5000,True,data/rectified/00012_0015.rect.png
00012,0001,-1,5000,True,data/rectified/00012-0001.rect.png
00013,0001,-1,5000,True,data/rectified/00013-0001.rect.png
00013,0015,-1,5000,True,data/rectified/00013_0015.rect.png
00014,0001,-1,5000,True,data/rectified/00014-0001.rect.png
00014,0015,-1,5000,True,data/rectified/00014_0015.rect.png
00015,0015,-1,5000,True,data/rectified/00015_0015.rect.png
00015,0001,-1,5000,True,data/rectified/00015-0001.rect.png
00016,0001,-1,5000,True,data/rectified/00016-0001.rect.png
00016,0015,-1,5000,True,data/rectified/00016_0015.rect.png
00017,0015,-1,5000,True,data/rectified/00017_0015.rect.png
00017,0001,-1,5000,True,data/rectified/00017-0001.rect.png
00018,0015,-1,5000,True,data/rectified/00018_0015.rect.png
00018,0001,-1,5000,True,data/rectified/00018-0001.rect.png
00019,0015,-1,5000,True,data/rectified/00019_0015.rect.png
00019,0001,-1,5000,True,data/rectified/00019-0001.rect.png
00020,0015,-1,5000,True,data/rectified/00020_0015.rect.png
00020,0001,-1,5000,True,data/rectified/00020-0001.rect.png
00021,0001,-1,5000,True,data/rectified/00021-0001.rect.png
00021,0015,-1,5000,True,data/rectified/00021_0015.rect.png
00023,0001,-1,5000,True,data/rectified/00023-0001.rect.png
00023,0015,-1,5000,True,data/rectified/00023_0015.rect.png
00024,0001,-1,5000,True,data/rectified/00024-0001.rect.png
00024,0015,-1,5000,True,data/rectified/00024_0015.rect.png
00025,0001,-1,5000,True,data/rectified/00025-0001.rect.png
00025,0015,-1,5000,True,data/rectified/00025_0015.rect.png
00026,0001,-1,5000,True,data/rectified/00026-0001.rect.png
00026,0015,-1,5000,True,data/rectified/00026_0015.rect.png
00027,0001,-1,5000,True,data/rectified/00027-0001.rect.png
00027,0015,-1,5000,True,data/rectified/00027_0015.rect.png
00028,0015,-1,5000,True,data/rectified/00028_0015.rect.png
00028,0001,-1,5000,True,data/rectified/00028-0001.rect.png
00029,0001,-1,5000,True,data/rectified/00029-0001.rect.png
00029,0015,-1,5000,True,data/rectified/00029_0015.rect.png
00030,0015,-1,5000,True,data/rectified/00030_0015.rect.png
00030,0001,-1,5000,True,data/rectified/00030-0001.rect.png
00031,0001,-1,5000,True,data/rectified/00031-0001.rect.png
00031,0015,-1,5000,True,data/rectified/00031_0015.rect.png
00032,0001,-1,5000,True,data/rectified/00032-0001.rect.png
00032,0015,-1,5000,True,data/rectified/00032_0015.rect.png
00033,0015,-1,5000,True,data/rectified/00033_0015.rect.png
00033,0001,-1,5000,True,data/rectified/00033-0001.rect.png
00034,0015,-1,5000,True,data/rectified/00034_0015.rect.png
00034,0001,-1,5000,True,data/rectified/00034-0001.rect.png
00035,0015,-1,5000,True,data/rectified/00035_0015.rect.png
00035,0001,-1,5000,True,data/rectified/00035-0001.rect.png
00036,0015,-1,5000,True,data/rectified/00036_0015.rect.png
00036,0001,-1,5000,True,data/rectified/00036-0001.rect.png
00037,0015,-1,5000,True,data/rectified/00037_0015.rect.png
